user_id,rho_reale,rho_stimato,rho_std,rep_aggregata,rep_affidabilita,rep_qualita,rho_alpha,rho_beta,rho_obs_count,mdr_obs_count,profilo_onesta,blacklist_strikes
112,0.6059,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
120,0.8688,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
121,0.6242,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
124,0.8971,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
127,0.8389,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
128,0.5932,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
132,0.8340,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
134,0.3431,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
135,0.5834,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
137,0.7521,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Honest,0
140,0.6386,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
149,0.8787,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Quasi-Rational,0
150,0.8547,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Quasi-Rational,0
153,0.5275,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
155,0.7816,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Honest,0
157,0.8594,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
159,0.4743,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
160,0.8410,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
162,0.8133,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Honest,0
163,0.4539,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
167,0.6776,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Honest,0
170,0.4231,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Opportunistic,0
172,0.6478,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
174,0.4764,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
178,0.3524,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
179,0.6393,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
180,0.8337,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Quasi-Rational,0
185,0.8665,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
187,0.7558,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Honest,0
188,0.5106,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
190,0.5212,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
192,0.8084,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Honest,0
197,0.3162,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
213,0.6984,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Honest,0
214,0.8828,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Quasi-Rational,0
229,0.5208,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
232,0.5715,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Moderate,0
243,0.6517,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Honest,0
248,0.8912,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
249,0.3955,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
250,0.4019,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
252,0.8346,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Quasi-Rational,0
254,0.8073,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Honest,0
255,0.6256,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
256,0.3368,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Opportunistic,0
264,0.8327,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Quasi-Rational,0
268,0.6297,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
269,0.7586,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Honest,0
274,0.8947,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Quasi-Rational,0
275,0.4708,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
280,0.4542,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
281,0.8802,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Quasi-Rational,0
282,0.8129,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Honest,0
283,0.4512,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
288,0.3467,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
289,0.4939,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
290,0.4503,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
291,0.8862,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Quasi-Rational,0
293,0.7034,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Honest,0
297,0.5148,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
298,0.8395,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Quasi-Rational,0
305,0.8013,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Honest,0
306,0.3488,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
309,0.5449,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
310,0.3938,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
311,0.3202,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
315,0.3312,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
316,0.3465,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
317,0.8576,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Quasi-Rational,0
318,0.5299,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
321,0.5645,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Moderate,0
322,0.7509,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Honest,0
326,0.7740,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Honest,0
329,0.8944,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Quasi-Rational,0
330,0.6009,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
331,0.5924,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
334,0.6622,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Honest,0
335,0.5328,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
336,0.7984,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Honest,0
341,0.5276,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
342,0.7215,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Honest,0
343,0.7017,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Honest,0
348,0.8565,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Quasi-Rational,0
350,0.4185,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
352,0.4077,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
353,0.7459,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Honest,0
355,0.8465,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Quasi-Rational,0
357,0.7515,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Honest,0
359,0.5564,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Moderate,0
360,0.6874,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Honest,0
361,0.8077,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Honest,0
362,0.5047,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
363,0.8637,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Quasi-Rational,0
365,0.5337,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
366,0.4314,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
368,0.5143,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
