user_id,rho_reale,rho_stimato,rho_std,rep_aggregata,rep_affidabilita,rep_qualita,rho_alpha,rho_beta,rho_obs_count,mdr_obs_count,profilo_onesta,blacklist_strikes
74,0.6169,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
78,0.6009,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Moderate,0
80,0.3248,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
83,0.3833,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
84,0.5341,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
91,0.3750,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
92,0.3463,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
93,0.6274,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
94,0.4999,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
95,0.4654,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
96,0.5746,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
99,0.5826,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
101,0.3666,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
102,0.3339,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
103,0.4509,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
104,0.4483,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
109,0.4635,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
112,0.5552,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
120,0.5357,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
121,0.6445,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
124,0.3344,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
127,0.4409,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
128,0.4188,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
132,0.6016,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
134,0.3870,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
135,0.3666,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
137,0.4570,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
140,0.4477,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
149,0.3975,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
150,0.3874,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
153,0.6231,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
155,0.4551,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
157,0.6015,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
159,0.4926,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Moderate,0
160,0.3177,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
162,0.6497,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Moderate,0
163,0.5926,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
167,0.6391,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
170,0.6242,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
172,0.5970,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
174,0.3582,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
178,0.4700,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
179,0.3748,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
180,0.4404,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
185,0.3205,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
187,0.4326,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
188,0.6449,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
190,0.3928,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
192,0.5744,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
197,0.4593,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
213,0.4481,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
214,0.6351,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
229,0.6484,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
232,0.4945,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Moderate,0
243,0.5514,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
248,0.3542,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
249,0.4038,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
250,0.6390,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
252,0.5027,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
254,0.4898,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
255,0.5618,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
256,0.3200,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
264,0.5045,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
268,0.4760,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Moderate,0
269,0.5985,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Moderate,0
274,0.3551,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
275,0.6363,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
280,0.3280,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
281,0.3650,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
282,0.5083,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Moderate,0
283,0.5363,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
288,0.3823,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
289,0.3420,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
290,0.6116,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
291,0.3862,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
293,0.5081,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Moderate,0
297,0.5168,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
298,0.4467,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
305,0.5043,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
306,0.4830,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
309,0.6271,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
310,0.3715,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
311,0.5507,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
315,0.3835,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
316,0.4385,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
317,0.5351,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
318,0.4050,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
321,0.4107,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
322,0.5632,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
326,0.3254,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
329,0.4604,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
330,0.6495,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
331,0.6486,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
334,0.3256,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
335,0.3746,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Opportunistic,0
336,0.3928,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Opportunistic,0
341,0.6266,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
342,0.6083,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
343,0.6077,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
348,0.4293,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
350,0.3552,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
352,0.5918,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
353,0.5462,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
355,0.5141,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
357,0.6455,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
359,0.5289,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Moderate,0
360,0.3027,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
361,0.5860,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
362,0.4048,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
363,0.5322,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
365,0.6286,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
366,0.3470,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
368,0.3404,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
